,Job-Title,Company-Name,Rating,Job-Location,Summary
43,Data Scientist,Harnham,4.6,Stockholm,"As a Data Scientist, you will be expected to work in roles across cross-functional teams, playing a core part in tasks including but not limited to;
Proficiency in Matlab or similar.
Proficiency in Python/Pandas and R/Stata.
Background in software engineering, mathematics and/or statistics."
44,Senior Financial Data Scientist,Klarna,3.6,Stockholm,"Since then we have added many new data science areas such as predicting customer lifetime value, predicting return behavior in e-commerce, etc.
Historically, our focus areas have revolved around real-time risk decision-making for transactions.
Steering and shaping the development of statistical…"
45,Data Engineer,Curb food,,Stockholm,"Build Curb’s data platform hosting real-time and batch data, internal and external data,.
Passionate about big data and machine learning technologies.
Together with the team, you will take responsibility and accountability to design, develop and maintain the data platform and data products in a…"
46,Research Scientist,AstraZeneca,4.1,Göteborg,"Contribute to the interpretation of experimental data and play an important role in the planning of further experiments.
In addition, you possess excellent written and oral communication skills in English as well as great problem-solving skills related to in vitro research and data analysis."
47,Data Scientist for Scenario Based Verification (PhD),Zenseact,,Göteborg•Distans,"Ensure the completeness and representability of the collected data - work with and/or build large databases.
In this role you will be part of a team taking a data-driven approach to this challenge, trying to quantify the world around the vehicle through scenarios."
48,"Bioinformatics Data Scientist - Early Cardiovascular, Renal...",AstraZeneca,4.1,Göteborg,"Experience analyzing and interpreting data such as those arising from omics, biomarker, imaging and clinical data.
Statistical data analysis with knowledge within of at least some of the following areas: experimental design, linear/nonlinear models, mixed effect models, exploratory biomarkers,…"
49,Mentor Data Scientist,Mentorship,4.7,Sverige,"Transmettez vos connaissances et formez Data scientist de demain.
Un accompagnement hebdomadaire en ligne individualisé pour chaque étudiant avec un mentor.
Intégrez la communauté des mentors d'OpenClassrooms .
Un réseau de plus de 2 000 professionnels et experts dans de nombreux domaines."
50,Swedish House of Finance is looking for a Data Scientist/Dat...,Handelshögskolan i Stockholm,3.0,Stockholm,"Furthermore, you have good knowledge within economics and/or finance and at least basic understanding of financial data.
The high visibility content will be based on our internal data sets and could be presented in the form of frequent reports.
Moreover, you will be responsible for our platform Q&A…"
51,Teknisk Webbanalytiker,Dustin AB,5.0,Nacka strand,"Erfarenhet av att sätta upp tracking och visualisera data.
Du kommer att samarbeta med produktägare, UX/UI och webbutvecklare med flera i ett av våra agila utvecklingsteam, men du kommer också att arbeta nära andra analytiker och Data Scientists på Dustin och stötta intressenter inom verksamheten…"
52,Riksarkivet söker en Data scientist,Riksarkivet,3.3,Stockholm,"Som Data scientist designar, testar, utvecklar och implementerar du maskininlärningsmodeller med fokus på förbehandling och teckentolkning av digitiserade textdokument samt utveckling av språkmodeller för både historiskt och modernt språkbruk.
Vidare också att bidra till utvecklingen av AI-baserade…"
53,Junior Quality Control,ArabyAds,,Sverige,"Knowledge of Software QA methodologies, testing types, tools, and processes.
Develops, documents and maintains comprehensive and well-structured test plans and test cases based on requirements, specifications, technical design and team discussions.
A good understanding of object-oriented programming…"
54,BioMAX beamline scientist,Lunds universitet,4.0,Lund,"You will be involved in inhouse projects for the development of the beamline instrumentation and software and methods to enhance the user facilities at BioMAX for multi-crystal data collection and high-throughput fully automated data collection.
User support will be an important part of the work…"
55,Swedish House of Finance is looking for a Data Scientist/Dat...,Stockholm School of Economics,4.5,Stockholm,"Furthermore, you have good knowledge within economics and/or finance and at least basic understanding of financial data.
The high visibility content will be based on our internal data sets and could be presented in the form of frequent reports.
Moreover, you will be responsible for our platform Q&A…"
56,Analyst,UC,3.5,Stockholm,"You will be working with custom data analysis, mainly for our largest customers within credit risk.
This involves data processing, analysis, and preparing material for delivery to the customer, conclusions and recommendations.
We consist of 22 people in both Sweden and Finland with responsibility…"
57,Music Information Retrieval Specialist,Epidemic Sound,1.0,Stockholm,"You will be working closely with backend machine learning engineers and data engineers in deploying fair, explainable and interpretable models.
We are now looking for an experienced research scientist in music information retrieval (MIR) with a strong focus on machine learning (ML)."
58,Data Scients to worlds biggest music streaming company,Academic Work,3.3,Stockholm,"You have at least 3+ years of experience in a data scientist role, with degree qualifications in Computer Science, Statistics, Economics, Mathematics or similar quantitative discipline.
Perform analyses on data sets to extract actionable insights that will help drive product development decisions."
59,Data Analyst - Growth,Truecaller,4.0,Stockholm,"Keep up to date knowledge on external market and data research and work towards adding data points from external sources to our own data in order to create a value-added analysis.
Analyze customer data and assist product development in finding new innovative ways of presenting and making use of data…"
60,Data Scientist for HW Analytics,Ericsson,4.1,Göteborg,"This includes working with data from the factory, data from the repair centre and HW logs, and proposing/selecting/testing predictive models.
Conduct studies and find creative usage of new and/or existing data sources.
Work with Data Architects to demonstrate existing data models and build new ones,…"
61,Traineeprogram 2022,ViewBase,,Stockholm,"I rollerna Beslutstödskonsult och Data Scientist kommer du arbeta som en viktig möjliggörare för att säkerställa förverkligandet av hållbart affärsvärde från analys, data och modeller.
Nu när vi är i juni och gör oss redo för att den 30 augusti ta emot årets Traineer så gör vi oss även redo för…"
62,Senior Data Scientist within Global Supply Chain,Cepheid,3.6,Solna,"Design new data systems and business processes which precede data analytics.
Strategic multi factory global analytics from large data sets of structured and unstructured data from disparate global data systems and sources.
Solid grasp of end-to-end data process: business users -- > data systems (ERP…"
63,Associate Research Scientist to Sartorius in Umeå.,Talent(h)ify AB,,Umeå,"Experience in working with image data, in particular microscopic images is a merit.
Programming knowledge in Python is required, including knowledge of data science tools such as Numpy and matplotlib.
Furthermore you will contribute with technical knowledge in deep learning-based computer vision to…"
64,Utvecklare till MCA Stockholm,MCA Engineering,3.9,Stockholm,"Utöver retail, telecom och media så har vi även nära dialoger med flera intressanta start-ups som både ger oss en bredd i vår kundflora samt en spännvidd av moderna tekniker.
Fullstack-utvecklare | DevOps | iOS/Android-utvecklare | Systemutvecklare | Scrum master."
65,Food Scientist,Stockeld Dreamery AB,,Stockholm,"The collected and analysed data will be used to conduct analytical tests, quality control and sensory evaluations.
From researching new areas in food technology to evaluating your findings in the lab, you will be working with the full product development process from concept to commercialisation."
66,Data Scientist,Tink AB,,Stockholm,"You will have the freedom to explore already existing data, as well as drive the gathering of new data that may be needed to achieve our goals.
However, you can also work with an experienced engineering team to make data pipelines and put models into production.
SQL and programming skills in Python."
67,Data Engineer,SSAB,3.8,Oxelösund,"You will be mapping and collecting vast amounts of data from our 700 systems.
As Data Engineer at SSAB you will be building data pipelines and create Big Data processing capacities encompassing many of the systems in the Oxelösund steel plant.
Considering the great changes coming along in this Data…"
68,Data Scientist,Synteda AB,,Göteborg,"Good understanding of data engineering practices and data modelling.
Build and analyze new data models.
Analyze multi-variable data sets.
Previous experience building machine learning models and data visualization.
Experience in big data tools such as ElasticSearch/Soir and Kafka."
69,CFO,Peltarion,,Stockholm,"Our goal is to make machine learning (ML) widely available for a variety of use cases, for example, rapid prototyping for data scientists, using our wizard to build an image classifier for a hobby app project or developing a sentiment analysis system for a business use case."
70,Vi söker flera Data Scientists!,Sopra Steria,3.5,Stockholm,"Erfarenhet av att bygga data-pipelines.
Erfarenhet av relevanta verktyg för Big data processing såsom Hadoop eller Spark.
Vår målsättning är att ge dig verktygen och förutsättningarna för att fortsätta växa i din yrkesroll.
Minst 1 års erfarenhet av SQL.
Sista ansökningsdatum är 30 Juni 2021."
71,Data Scientist,Datatonic,,Stockholm•Distans,"Experience as a data scientist, ideally from a consulting background.
You will also be expected to provide high-quality advice to C-suite clients on data strategy, covering the impact that AI and data science could have on their business, and the practical steps that they need to take in order to…"
72,Research Scientist (Director)– Real-World Evidence,Evidera,3.7,Stockholm,"This may include studies of existing databases and/or de novo data collection.
Evidera has been providing health economics, outcomes research, market access, data analytics and epidemiology services to clients in the biopharmaceutical industry for over 19 years.
The incidence of adverse events."
73,Senior/Lead Data Scientist,Ericsson,4.1,Stockholm,"Decide approach for data science.
Design & perform data science experiment.
Convert data into impactful insights.
Synthesize problems into data question(s).
Provide thought leadership, perform Advanced Statistical Analytics, and build insights into data to deliver to the business meaningful insights…"
74,Data Scientist till Securitas Traineeprogram!,Academic Work,3.3,Malmö,"I så fall kommer du att arbeta med machine learning modeller som förutsäger risker i ett visst område under en viss tid genom att studera geografiska, demografiska och people movement mönster.
I rollen kommer du att arbeta med hela spektrumet av Data Science vilket gör tjänsten både varierande och…"
75,Data Scientist to the worlds biggest streaming company,Academic Work,3.3,Stockholm,"You will bring data and insights into every decision you make.
Perform analysis on large sets of data to extract impactful insights on user behavior in Search that will help drive product and design decisions.
Co-operate with cross-functional teams of data scientists, user researchers, product…"
76,Marketing Data Scientist,Nordic Entertainment Group,,Stockholm,"Our technology stack offers great opportunities to showcase and develop your data science skills.
Curiosity to conduct research while able to find practical ways to translate into a reliable, customer-facing data products.
You will work on AWS for computation and storage, using R and Scala/Spark to…"
77,Data Scientist/Senior Data Scientist,Tele2,4.0,Stockholm,"Minimum of 3+ years as data scientist (or equivalent).
Experience working with unstructured data.
As a Data Scientist you will work close with our data engineers in building and operationalizing predictive models.
Minimum of 3+ years commercial experience working with data (i.e. only academic…"
78,Data Scientist till REITAN CONVENIENCE SWEDEN AB,Academic Work,3.3,Stockholm,"Konvertera data till insikter som kan kommuniceras och förstås av organisationen.
Utveckla så väl explorativ, bekräftande och prediktiv analys och på så sätt förädla befintlig data till insikter och information som kan ligga till grund för beslut och agerande (det kan handla om visualisering,…"
